"title","totalScore","reviewsCount","street","city","state","countryCode","website","phone","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categories/7","categories/8","categories/9","url","categoryName"
"Dermaster Medical Aesthetic Clinic","4.6","43","3000 W Olympic Blvd #305","Los Angeles","California","US","https://www.dermasterusa.com/","(213) 816-4768","Medical spa","Day spa","Health spa","Laser hair removal service","Skin care clinic","Tattoo removal service",,,,,"https://www.google.com/maps/search/?api=1&query=Dermaster%20Medical%20Aesthetic%20Clinic&query_place_id=ChIJ7fiO3zG5woARwjC_KTrbi2k","Medical spa"
"Forever Young by Rita","4.9","75","16200 Ventura Blvd ste 400","Encino","California","US","http://www.foreveryoungbyrita.com/","(424) 571-5005","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Forever%20Young%20by%20Rita&query_place_id=ChIJ2TF3whWXwoARZMO5O7P4zyY","Medical spa"
"Mykonos Medspa","4.6","10","4940 Van Nuys Blvd Suite 302","Sherman Oaks","California","US","https://mykonosmedspa.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp","(310) 944-6909","Medical spa","Skin care clinic","Wellness center",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mykonos%20Medspa&query_place_id=ChIJMfQ70PuXwoARUs7--fu5DSk","Medical spa"
"SkulptLA","5","4","14558 Sylvan St Unit 105","Van Nuys","California","US","https://www.skulptla.com/","(818) 616-4690","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SkulptLA&query_place_id=ChIJQWmKYk6XwoAR9boTnVAX28g","Medical spa"
"Facialogy Medical, Inc.","5","2","17609 Ventura Blvd","Encino","California","US","http://www.facialogy.com/","(310) 991-2940","Medical office","Professional services","Store",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Facialogy%20Medical%2C%20Inc.&query_place_id=ChIJKYdxukyYwoARgxkgCrsYgOs","Medical office"
"TSC Aesthetic Center","5","65","15490 Ventura Blvd Suite 111","Sherman Oaks","California","US","http://thestepanyanclinic.com/","(818) 640-9054","Medical spa","Facial spa","Hair extension technician",,,,,,,,"https://www.google.com/maps/search/?api=1&query=TSC%20Aesthetic%20Center&query_place_id=ChIJNwzNUFfHwoARGQ4G53WD_-4","Medical spa"
"Encino Place Med spa",,,"16101 Ventura Blvd #343","Encino","California","US",,"(310) 991-3662","Local medical services","Body shaping class",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Encino%20Place%20Med%20spa&query_place_id=ChIJg2kLWBGXwoAR55gn1r53UEQ","Local medical services"
"Vida Bel Beauty Spa: Best Facials in Encino & Permanent Make-Up","5","65","16545 Ventura Blvd UNIT 23","Encino","California","US","https://vidabelbeautyscalifornia.zoca.com/?utm_source=googlemaps&utm_medium=googlemapsprofile&utm_campaign=website_link","(818) 445-5757","Facial spa","Beauty salon","Permanent make-up clinic","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Vida%20Bel%20Beauty%20Spa%3A%20Best%20Facials%20in%20Encino%20%26%20Permanent%20Make-Up&query_place_id=ChIJmWFuNgeZwoARzfaVU3TMtOw","Facial spa"
"Shiny Laser Skin Clinic – Koreatown Med Spa & Laser Skin Experts","4.8","358","3785 Wilshire Blvd #228C","Los Angeles","California","US","http://shinylaserclinic.com/","(213) 382-5888","Medical spa","Laser hair removal service","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Shiny%20Laser%20Skin%20Clinic%20%E2%80%93%20Koreatown%20Med%20Spa%20%26%20Laser%20Skin%20Experts&query_place_id=ChIJ8zHuoIK4woARP8lcaYq_ga8","Medical spa"
"Blanc med spa","5","4","3407 W 6th St Suite 815","Los Angeles","California","US","https://www.instagram.com/blanc_medspa/","(213) 676-9412","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Blanc%20med%20spa&query_place_id=ChIJE1RdvOHHwoAR1rcmAZYB12o","Medical spa"
"Cleopatra Medical Aesthetics","4.8","41","691 S Harvard Blvd","Los Angeles","California","US","https://www.cleopatra-lasercenter.com/en/","(213) 487-5000","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Cleopatra%20Medical%20Aesthetics&query_place_id=ChIJrQ3ccIPHwoARNSgdxqmQ1f8","Medical spa"
"Polaris Medical Aesthetics","5","24","928 S Western Ave UNIT 309","Los Angeles","California","US","https://www.polarisaesthetics.com/","(323) 744-3133","Medical spa","Hair transplantation clinic","Laser hair removal service","Permanent make-up clinic","Skin care clinic","Tattoo removal service",,,,,"https://www.google.com/maps/search/?api=1&query=Polaris%20Medical%20Aesthetics&query_place_id=ChIJfVUsVaa5woARW8rFCEJdK40","Medical spa"
"LA SoHo Med Spa","3.2","18","300 S Hobart Blvd #202","Los Angeles","California","US","http://la.koreaportal.com/yp/16655-LA-%EC%86%8C%ED%98%B8%EB%A9%94%EB%94%94%EC%8A%A4%ED%8C%8C--%EC%97%98%EC%97%90%EC%9D%B4-OC-%EB%B6%80%EC%97%90%EB%82%98%ED%8C%8D-%EB%A0%88%EC%9D%B4%EC%A0%80-%ED%81%B4%EB%A6%AC%EB%8B%89-%EC%84%BC%ED%84%B0-%EC%8A%A4%ED%82%A8%EC%BC%80%EC%96%B4-%EB%B3%B4%ED%86%A1%EC%8A%A4","(213) 368-0909","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=LA%20SoHo%20Med%20Spa&query_place_id=ChIJse4Os564woARktbcQQR6d3o","Medical spa"
"Blossom Med","5","6","1032 N Western Ave","Los Angeles","California","US","https://blossommedla.com/","(323) 461-2450","Medical spa","Facial spa","Weight loss service","Wellness center",,,,,,,"https://www.google.com/maps/search/?api=1&query=Blossom%20Med&query_place_id=ChIJUUJCwmu5woARnDmkr0hs4JU","Medical spa"
"Miracle Laser Clinic","4.9","388","4221 Wilshire Blvd #100","Los Angeles","California","US","https://www.miraclelaserclinic.com/","(213) 264-1146","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Miracle%20Laser%20Clinic&query_place_id=ChIJ0fAEIEC5woARgj_fYpoCLK0","Medical spa"
"Hills Beauty Med Spa",,,"217 N Western Ave","Los Angeles","California","US","http://hillsmedspa.com/","(213) 544-7252","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hills%20Beauty%20Med%20Spa&query_place_id=ChIJXzRlyfa5woARG7rZ1eHoLnI","Medical spa"
"Olympic Spa","4.5","676","3915 W Olympic Blvd","Los Angeles","California","US","http://olympicspala.com/","(323) 857-0666","Day spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Olympic%20Spa&query_place_id=ChIJj_xq6X_HwoARZfl0Vnmpl0g","Day spa"
"Irene's Skintopia","4.6","55","505 Shatto Pl Unit 200B","Los Angeles","California","US","https://irenesskintopia.com/","(213) 703-7037","Medical spa","Skin care clinic","Permanent make-up clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Irene's%20Skintopia&query_place_id=ChIJnVpxGH64woARg5BdFAgD45Y","Medical spa"
"Contour Room Sherman Oaks","5","86","4910 Van Nuys Blvd #301","Sherman Oaks","California","US","https://contourroom.com/?utm_source=google&utm_medium=organic&utm_campaign=gmb","(818) 638-3658","Medical spa","Lymph drainage therapist","Wellness center","Spa",,,,,,,"https://www.google.com/maps/search/?api=1&query=Contour%20Room%20Sherman%20Oaks&query_place_id=ChIJT30NNZOXwoARspYlQ6lZlGM","Medical spa"
"RENOVA Medical Aesthetics & Wellness",,,"15840 Ventura Blvd # 106","Encino","California","US","https://renovamedaesthetics.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website","(818) 517-6996","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=RENOVA%20Medical%20Aesthetics%20%26%20Wellness&query_place_id=ChIJkTAnnIWXwoARbVnCNBUJWuw","Medical spa"
"Asesu Laser Med Spa",,,"4940 Van Nuys Blvd # 306","Sherman Oaks","California","US",,"(661) 495-8883","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Asesu%20Laser%20Med%20Spa&query_place_id=ChIJ4w6KgoyXwoARlr__PmWi5ZM","Medical spa"
"Medeo Zen Spa","5","9","15760 Ventura Blvd suite 110 #509","Encino","California","US","https://www.medeozenspa.com/","(818) 606-9737","Beauty salon","Facial spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Medeo%20Zen%20Spa&query_place_id=ChIJQRmEUZ6ZwoARrAlthoyE3ck","Beauty salon"
"House of Skyn","4.9","17","14106 Ventura Blvd #101","Sherman Oaks","California","US",,"(323) 684-4903","Spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=House%20of%20Skyn&query_place_id=ChIJcUVXeAWXwoARxkRvxz_bCKc","Spa"
"Vital Clinical Wellness at Santè Spa - Vellesthetics",,,"15840 Ventura Blvd UNIT 308","Encino","California","US",,"(818) 855-5455","Medical spa","Blood testing service","Fitness center","Health consultant","Medical clinic","Health spa","Skin care clinic","Vitamin & supplements store","Weight loss service","Wellness program","https://www.google.com/maps/search/?api=1&query=Vital%20Clinical%20Wellness%20at%20Sant%C3%A8%20Spa%20-%20Vellesthetics&query_place_id=ChIJ_XaH-lSXwoARpzQGOovQZmo","Medical spa"
"Silvana Skin Care Organic Facials","5","96","14038 Califa St","Valley Glen","California","US","http://www.silvanaskincare.com/","(213) 541-8484","Skin care clinic","Electrolysis hair removal service","Laser hair removal service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Silvana%20Skin%20Care%20Organic%20Facials&query_place_id=ChIJX8HcVlOWwoARzFlEXRgz0VM","Skin care clinic"
"Peace of Mind Wellness","4.4","21","16200 Ventura Blvd ste 400","Encino","California","US","https://peaceofmindwellness.com/","(818) 445-3085","Skin care clinic","Facial spa","Waxing hair removal service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Peace%20of%20Mind%20Wellness&query_place_id=ChIJscZwYB2WwoARPxDHjMW_Lt4","Skin care clinic"
"Kimistry Aesthetics & ﻿Wellness","5","1","16250 Ventura Blvd","Encino","California","US","https://kimistryaestheticsandwellness.com/contact/","(818) 522-6170","Spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Kimistry%20Aesthetics%20%26%20%EF%BB%BFWellness&query_place_id=ChIJzYQoaCeYwoARoURg6U8oGnA","Spa"
"The Med Spa at Ari Hyman, MD","5","1","16311 Ventura Blvd # 970","Encino","California","US","https://www.arihymanmd.com/","(818) 275-8223","Plastic surgeon","Dermatologist",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Med%20Spa%20at%20Ari%20Hyman%2C%20MD&query_place_id=ChIJt9_xxFmZwoARsgq8Ri7q_nc","Plastic surgeon"
"WooYoo Medical Aesthetics","4.7","90","505 S Virgil Ave #106","Los Angeles","California","US","https://www.wooyoomedspa.com/","(213) 674-7287","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=WooYoo%20Medical%20Aesthetics&query_place_id=ChIJcyZPTvDHwoAREXkFzxdG3Tk","Medical spa"
"Arc Beauty Lab","5","13","3832 Wilshire Blvd #102","Los Angeles","California","US","http://www.arcbeautylab.com/","(213) 375-7035","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Arc%20Beauty%20Lab&query_place_id=ChIJ2cD0Eqa5woAR1xWZa3t2sH8","Medical spa"
"Hugh Spa","4.6","505","1101 S Vermont Ave","Los Angeles","California","US","https://www.hughspa.com/","(213) 365-1269","Day spa","Massage therapist",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Hugh%20Spa&query_place_id=ChIJGfPbiYPHwoAR6PkdEfD69Io","Day spa"
"Tiara Aesthetics","4.9","155","3407 W 6th St #808","Los Angeles","California","US","https://tiaraskinhair.squarespace.com/treatments","(213) 263-9535","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Tiara%20Aesthetics&query_place_id=ChIJRdA9rT3HwoARZXp7i_XXmdY","Medical spa"
"SPA LA","4.4","316","3442 Wilshire Blvd #100","Los Angeles","California","US","http://www.spala.us/","(213) 700-8595","Day spa","Spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=SPA%20LA&query_place_id=ChIJ-1CELsPHwoARoZo7W5PiIbI","Day spa"
"Volumé","4.3","50","520 S Virgil Ave Ste 502","Los Angeles","California","US","https://www.volumeclinic.com/","(213) 908-7000","Medical spa","Facial spa","Medical clinic","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Volum%C3%A9&query_place_id=ChIJQW1ib6HHwoARbd2ykZm3T7c","Medical spa"
"East West Health Spa","3.6","185","901 S Western Ave","Los Angeles","California","US",,"(323) 840-2035","Spa","Public sauna",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=East%20West%20Health%20Spa&query_place_id=ChIJOyosaIa4woARsydjqDOtPkA","Spa"
"RESET LASER CLINIC by Lavender Skincare Inc.","4.8","91","3130 W Olympic Blvd #310","Los Angeles","California","US","https://resetlaserclinic.com/","(213) 703-8220","Medical spa","Facial spa","Health and beauty shop","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=RESET%20LASER%20CLINIC%20by%20Lavender%20Skincare%20Inc.&query_place_id=ChIJidZcGH64woAROBpHqOxnJ2g","Medical spa"
"Skin Laundry - Larchmont","4.3","100","132 N Larchmont Blvd suite 110","Los Angeles","California","US","https://www.skinlaundry.com/locations/larchmont","(985) 401-6545","Medical spa","Facial spa","Hair removal service","Laser hair removal service","Skin care clinic",,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Laundry%20-%20Larchmont&query_place_id=ChIJHeDoUce4woARnZ5guPdfElc","Medical spa"
"Botox Koreatown Viora Med Spa Los Angeles","5","8","3663 W 6th St #303","Los Angeles","California","US","https://www.vioramedspa.com/","(213) 387-5323","Medical spa","Plastic surgery clinic","Skin care clinic","Surgical center",,,,,,,"https://www.google.com/maps/search/?api=1&query=Botox%20Koreatown%20Viora%20Med%20Spa%20Los%20Angeles&query_place_id=ChIJ60lPtZ25woAREtE8UT05jWU","Medical spa"
"JK aesthetics","4.7","210","966 S Western Ave # 203","Los Angeles","California","US","http://www.jkaestheticfacial.com/","(213) 247-4993","Facial spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=JK%20aesthetics&query_place_id=ChIJV3QYr4e4woARjcJ6ZVSImsY","Facial spa"
"Wave Plastic Surgery & Aesthetic Laser Center Los Angeles","4.8","437","3680 Wilshire Blvd #202","Los Angeles","California","US","https://waveplasticsurgery.com/?utm_source=gbp_listing&utm_medium=organic&utm_campaign=los-angeles","(213) 325-1997","Medical spa","Hair removal service","Plastic surgeon","Plastic surgery clinic","Skin care clinic","Spa",,,,,"https://www.google.com/maps/search/?api=1&query=Wave%20Plastic%20Surgery%20%26%20Aesthetic%20Laser%20Center%20Los%20Angeles&query_place_id=ChIJN3tFRnzHwoARm_FRTw3Yuds","Medical spa"
"JP Aesthetics","3.9","13","3544 W Olympic Blvd #211","Los Angeles","California","US",,"(213) 738-5550","Plastic surgery clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=JP%20Aesthetics&query_place_id=ChIJgTkHy3vHwoAR3LbH9YlAmmo","Plastic surgery clinic"
"Skincraft LA","5","2","15125 Ventura Blvd #5","Sherman Oaks","California","US","https://skincraftla.com/","","Spa","Facial spa","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skincraft%20LA&query_place_id=ChIJ31BmDciXwoARBiTnAmJO0b4","Spa"
"L.A. Body Contouring","4.9","47","16250 Ventura Blvd #202","Encino","California","US","http://www.labodycontouring.net/","(310) 208-0044","Weight loss service",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=L.A.%20Body%20Contouring&query_place_id=ChIJOUN5momXwoARDYDizgrTzKI","Weight loss service"
"Incredible Veins, Skin & Body","4.6","42","16030 Ventura Blvd #605","Encino","California","US","http://www.incredibleveins.com/","(818) 900-2700","Skin care clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Incredible%20Veins%2C%20Skin%20%26%20Body&query_place_id=ChIJ8yySxIuXwoARpUbu_NlmJTg","Skin care clinic"
"Rejuvenation Center Clinic",,,"4940 Van Nuys Blvd","Sherman Oaks","California","US","https://rejuvenationcenterclinic.com/","(818) 849-6411","Medical Center","Doctor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Rejuvenation%20Center%20Clinic&query_place_id=ChIJVVUVLbaXwoARwbGDV7fwzn4","Medical Center"
"6 Day Medical Weight Loss & Aesthetics","4.8","132","14900 Ventura Blvd # 100","Sherman Oaks","California","US","https://6dayweightloss.com/","(818) 782-9038","Weight loss service","Medical spa","Skin care clinic",,,,,,,,"https://www.google.com/maps/search/?api=1&query=6%20Day%20Medical%20Weight%20Loss%20%26%20Aesthetics&query_place_id=ChIJWZPPw9GXwoARUxXVU3dcEWM","Weight loss service"
"NPMD","5","73","16101 Ventura Blvd #300","Encino","California","US","https://npmd.com/","(818) 533-8393","Medical spa","Family practice physician","Health spa","Home health care service","Hospice","Medical Center","Medical clinic","Doctor","Skin care clinic",,"https://www.google.com/maps/search/?api=1&query=NPMD&query_place_id=ChIJW78M1N-XwoARYM45Stdok6I","Medical spa"
"Honest Dermatology Skin and Laser Center","4.6","46","15840 Ventura Blvd #101","Encino","California","US","http://www.honestdermatology.com/","(818) 789-3811","Skin care clinic","Dermatologist","Hair removal service","Laser hair removal service","Medical group",,,,,,"https://www.google.com/maps/search/?api=1&query=Honest%20Dermatology%20Skin%20and%20Laser%20Center&query_place_id=ChIJz0kH3pKXwoARfTtwohWmt2M","Skin care clinic"
"Skincare by Anna","5","16","15053 Ventura Blvd #201","Sherman Oaks","California","US","http://www.skincarebyanna.co/","(818) 414-7151","Skin care clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skincare%20by%20Anna&query_place_id=ChIJ61AFcV-XwoARTyWp63aWQ58","Skin care clinic"
"Build Yourself Brick By Brick Spa and Wellness","5","7","16733 Ventura Blvd #8","Encino","California","US","https://buildyourselfbrickbybrick.com/","(818) 456-7833","Wellness program","Health spa","Lymph drainage therapist","Massage spa","Spa and health club","Weight loss service",,,,,"https://www.google.com/maps/search/?api=1&query=Build%20Yourself%20Brick%20By%20Brick%20Spa%20and%20Wellness&query_place_id=ChIJS1XP6wSdwoARfg_P_Z3Qj5Q","Wellness program"
"Ageinterventionistrx","5","7","14106 Ventura Blvd # 200","Sherman Oaks","California","US","http://www.ageinterventionistrx.com/","(310) 438-7546","Skin care clinic",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Ageinterventionistrx&query_place_id=ChIJPRYbDoyXwoARxmyB3U44irM","Skin care clinic"
"Thrive Men's Clinic | Testosterone Replacement Therapy (TRT)","5","212","18740 Ventura Blvd #101","Tarzana","California","US","http://www.mensthrive.com/","(818) 906-8888","Reproductive health clinic","Medical Center","Medical laboratory","Physical examination center","Urology clinic","Wellness center","Wellness program",,,,"https://www.google.com/maps/search/?api=1&query=Thrive%20Men's%20Clinic%20%7C%20Testosterone%20Replacement%20Therapy%20(TRT)&query_place_id=ChIJF7A2QHaZwoARF6dGT5yI-kM","Reproductive health clinic"
"Skinwell Dermatology","4.7","48","16030 Ventura Blvd # 100","Encino","California","US","https://www.skinwellderm.com/","(818) 205-9808","Skin care clinic","Doctor","Dermatologist",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skinwell%20Dermatology&query_place_id=ChIJFZeZVcO_woARxOgH1Cx7le0","Skin care clinic"
"Body Care Professionals Endermologie",,,"18645 Ventura Blvd","Tarzana","California","US","http://www.cellulitepro.com/","(818) 489-3532","Skin care clinic","Beauty","Health",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Body%20Care%20Professionals%20Endermologie&query_place_id=ChIJjdKrww6ZwoARydi2YRmajd0","Skin care clinic"
"Flawless Skin Center - West Hollywood: Med Spa","4.9","150","718 N La Brea Ave","Los Angeles","California","US","https://www.flawlessskincenter.com/","(323) 452-9100","Medical spa","Facial spa","Laser hair removal service","Skin care clinic",,,,,,,"https://www.google.com/maps/search/?api=1&query=Flawless%20Skin%20Center%20-%20West%20Hollywood%3A%20Med%20Spa&query_place_id=ChIJ1fBbqLi_woARIbpqmGqRYpU","Medical spa"
"Queen Bee Medspa","4.8","581","14006 Riverside Dr #213a","Sherman Oaks","California","US","https://spabeeandco.com/","(747) 247-2204","Facial spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Queen%20Bee%20Medspa&query_place_id=ChIJ3Vd24xGXwoARwpCNP7IQND4","Facial spa"
"ALGM Beauty Bar","5","25","7400 Van Nuys Blvd #112","Van Nuys","California","US","https://algmbeautybar.com/","(747) 755-5333","Medical spa","Facial spa","Laser hair removal service","Skin care clinic","Weight loss service",,,,,,"https://www.google.com/maps/search/?api=1&query=ALGM%20Beauty%20Bar&query_place_id=ChIJpZwuvhHnRUURL7ZWr4J_grA","Medical spa"
"Her Med Spa",,,"7220 Woodman Ave Suite 106 - A","Van Nuys","California","US","https://hermedspa.com/","(323) 250-9360","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Her%20Med%20Spa&query_place_id=ChIJHfiOnlCXwoARTEwhaMWgyOQ","Medical spa"
"Starr MedSpa","5","10","12169 Ventura Blvd","Studio City","California","US","https://starrmedspa.com/starr-medspa-studio-city","(805) 244-6909","Skin care clinic","Doctor","Wellness center",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Starr%20MedSpa&query_place_id=ChIJkWRXnie9woARYKedjvH3sU4","Skin care clinic"
"Andon Aesthetics","5","35","4418 Vineland Ave #222","North Hollywood","California","US","https://www.andonaesthetics.com/","(818) 351-9252","Medical spa","Cosmetics industry","Spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Andon%20Aesthetics&query_place_id=ChIJL2rwexi-woARAccelKC-SOg","Medical spa"
"BERCANA MEDSPA","5","2","4400 Coldwater Canyon Ave #320","Studio City","California","US",,"(818) 818-7472","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=BERCANA%20MEDSPA&query_place_id=ChIJ8coKDemXwoAR5WfTmSj5rBY","Medical spa"
"Wi Spa","4.2","4330","2700 Wilshire Blvd","Los Angeles","California","US","http://www.wispausa.com/","(213) 487-2700","Spa","Day spa","Massage spa",,,,,,,,"https://www.google.com/maps/search/?api=1&query=Wi%20Spa&query_place_id=ChIJ33ySYnbHwoARD9qfzHI_DzQ","Spa"
"Skin Sirens LA - A Nursing Corp. Sharon Canet","5","26","527 W 7th St Suite 400","Los Angeles","California","US","http://skin-sirens-la.mailchimpsites.com/","(213) 214-1353","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Skin%20Sirens%20LA%20-%20A%20Nursing%20Corp.%20Sharon%20Canet&query_place_id=ChIJ1f3oeg3HwoARFdQBDoPealk","Medical spa"
"Heyday Skincare Silver Lake","4.7","158","3505 Sunset Blvd","Los Angeles","California","US","http://www.heydayskincare.com/","(310) 552-7991","Facial spa","Beautician","Day spa","Skin care clinic","Spa",,,,,,"https://www.google.com/maps/search/?api=1&query=Heyday%20Skincare%20Silver%20Lake&query_place_id=ChIJGeL-GDjHwoARi311r4G0W9M","Facial spa"
"Mobile Spa & Beauty studio","4.9","19","1605 W Olympic Blvd #1027","Los Angeles","California","US","http://www.mobilespabeautyla.com/","(213) 985-5407","Lymph drainage therapist","Beautician",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Mobile%20Spa%20%26%20Beauty%20studio&query_place_id=ChIJ41FA8MTHwoARqcbXNSkA-FQ","Lymph drainage therapist"
"Line Plastic Surgery Center","4.8","376","3435 Wilshire Blvd #1600","Los Angeles","California","US","http://www.lineps.com/","(213) 383-3322","Medical spa","Hair transplantation clinic","Plastic surgery clinic","Plastic surgeon",,,,,,,"https://www.google.com/maps/search/?api=1&query=Line%20Plastic%20Surgery%20Center&query_place_id=ChIJN3tFRnzHwoARHvM2mtH0yWk","Medical spa"
"Vivify Aesthetic Medspa","5","5","924 S Catalina St","Los Angeles","California","US","https://vivifyaesthetics.com/","(310) 988-9381","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Vivify%20Aesthetic%20Medspa&query_place_id=ChIJs0ABhIrHwoARPNNFKy4qq-Q","Medical spa"
"M. Grace Skincare","4.8","91","628 N Vermont Ave Ste. 10","Los Angeles","California","US","http://mgraceskincare.square.site/","(213) 810-3868","Facial spa","Spa",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=M.%20Grace%20Skincare&query_place_id=ChIJVTgz7x7HwoARgBlBLl9yIu0","Facial spa"
"CKE SKINCARE","5","189","2970 W Olympic Blvd #206","Los Angeles","California","US","https://www.ckeskincare.com/","(213) 522-0033","Medical spa","Skin care clinic",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=CKE%20SKINCARE&query_place_id=ChIJR_9Tcru5woARqNlVh8fjrQE","Medical spa"
"Daengki Spa Los Angeles - 사우나 스파","4.2","134","4245 W 3rd St","Los Angeles","California","US","http://daengkispa.com/","(213) 381-3780","Day spa","Massage therapist","Sauna","Spa",,,,,,,"https://www.google.com/maps/search/?api=1&query=Daengki%20Spa%20Los%20Angeles%20-%20%EC%82%AC%EC%9A%B0%EB%82%98%20%EC%8A%A4%ED%8C%8C&query_place_id=ChIJL9qxFZm4woAR88IWJYr3JaU","Day spa"
"The Skin by Heidi","5","11","301 S Western Ave Suite 206","Los Angeles","California","US","http://www.theskinbyheidi.com/","(213) 568-3232","Facial spa","Permanent make-up clinic","Waxing hair removal service",,,,,,,,"https://www.google.com/maps/search/?api=1&query=The%20Skin%20by%20Heidi&query_place_id=ChIJo8a0TJe5woARu9vim3O1gOE","Facial spa"
"DESUAR DTLA Spa","4.6","592","404 S Figueroa St #302","Los Angeles","California","US","https://desuar.com/","(213) 265-7908","Day spa","Make-up artist","Massage spa","Nail salon","Sauna","Skin care clinic","Tanning salon","Waxing hair removal service",,,"https://www.google.com/maps/search/?api=1&query=DESUAR%20DTLA%20Spa&query_place_id=ChIJpQtC-krGwoARaIgu3ECjfds","Day spa"
"My Aesthetic Doctor","5","208","321 N Larchmont Blvd #505","Los Angeles","California","US","https://www.myaestheticdoctor.com/?utm_source=GMB&utm_medium=organic&utm_campaign=losangeles","(323) 784-0577","Medical clinic","Doctor",,,,,,,,,"https://www.google.com/maps/search/?api=1&query=My%20Aesthetic%20Doctor&query_place_id=ChIJV7R8zb-5woARTWgbtfX-Li8","Medical clinic"
"Divine Image Medical","5","1","505 Flower St b14","Los Angeles","California","US",,"(213) 689-1500","Medical spa",,,,,,,,,,"https://www.google.com/maps/search/?api=1&query=Divine%20Image%20Medical&query_place_id=ChIJb-QgsbPHwoARt1jsJ7o_U34","Medical spa"
"The Raven Spa","4.4","233","2910 Rowena Ave","Los Angeles","California","US","https://theravenspa.com/","(323) 325-5668","Spa","Boutique","Day spa","Facial spa","Massage therapist","Reiki therapist","Sauna","Thai massage therapist",,,"https://www.google.com/maps/search/?api=1&query=The%20Raven%20Spa&query_place_id=ChIJLSyYns7AwoARsB-5WHxr2yY","Spa"
"AESTHETICA LA: Arezou Yaghoubian, MD, FACS","5","54","18372 Clark St Suite 204","Tarzana","California","US","http://www.aestheticala.com/?utm_source=GMBlisting&utm_medium=organic","(818) 342-4541","Plastic surgery clinic","Hand surgeon","Plastic surgeon",,,,,,,,"https://www.google.com/maps/search/?api=1&query=AESTHETICA%20LA%3A%20Arezou%20Yaghoubian%2C%20MD%2C%20FACS&query_place_id=ChIJCX-rAQiZwoARlFd7aN-8zuw","Plastic surgery clinic"
